Ország,Söradagok,Égetett szesz adagok,Boradagok,Összes tiszta alkohol (liter)
Afganisztán,0,0,0,0.0
Albánia,89,132,54,4.9
Algéria,25,0,14,0.7
Andorra,245,138,312,12.4
Angola,217,57,45,5.9
Antigua és Barbuda,102,128,45,4.9
Argentína,193,25,221,8.3
Örményország,21,179,11,3.8
Ausztrália,261,72,212,10.4
Ausztria,279,75,191,9.7
Azerbajdzsán,21,46,5,1.3
Bahama-szigetek,122,176,51,6.3
Bahrein,42,63,7,2.0
Banglades,0,0,0,0.0
Barbados,143,173,36,6.3
Fehéroroszország,142,373,42,14.4
Belgium,295,84,212,10.5
Belize,263,114,8,6.8
Benin,34,4,13,1.1
Bhután,23,0,0,0.4
Bolívia,167,41,8,3.8
Bosznia-Hercegovina,76,173,8,4.6
Botswana,173,35,35,5.4
Brazília,245,145,16,7.2
Brunei,31,2,1,0.6
Bulgária,231,252,94,10.3
Burkina Faso,25,7,7,4.3
Burundi,88,0,0,6.3
Elefántcsontpart,37,1,7,4.0
Zöld-foki Köztársaság,144,56,16,4.0
Kambodzsa,57,65,1,2.2
Kamerun,147,1,4,5.8
Kanada,240,122,100,8.2
Közép-afrikai Köztársaság,17,2,1,1.8
Csád,15,1,1,0.4
Chile,130,124,172,7.6
Kína,79,192,8,5.0
Kolumbia,159,76,3,4.2
Comore-szigetek,1,3,1,0.1
Kongó,76,1,9,1.7
Cook-szigetek,0,254,74,5.9
Costa Rica,149,87,11,4.4
Horvátország,230,87,254,10.2
Kuba,93,137,5,4.2
Ciprus,192,154,113,8.2
Csehország,361,170,134,11.8
Észak-Korea,0,0,0,0.0
Kongói Demokratikus Köztársaság,32,3,1,2.3
Dánia,224,81,278,10.4
Dzsibuti,15,44,3,1.1
Dominika,52,286,26,6.6
Dominikai Köztársaság,193,147,9,6.2
Ecuador,162,74,3,4.2
Egyiptom,6,4,1,0.2
El Salvador,52,69,2,2.2
Egyenlítôi-Guinea,92,0,233,5.8
Eritrea,18,0,0,0.5
Észtország,224,194,59,9.5
Etiópia,20,3,0,0.7
Fidzsi-szigetek,77,35,1,2.0
Finnország,263,133,97,10.0
Franciaország,127,151,370,11.8
Gabon,347,98,59,8.9
Gambia,8,0,1,2.4
Grúzia,52,100,149,5.4
Németország,346,117,175,11.3
Ghána,31,3,10,1.8
Görögország,133,112,218,8.3
Grenada,199,438,28,11.9
Guatemala,53,69,2,2.2
Guinea,9,0,2,0.2
Bissau-Guinea,28,31,21,2.5
Guyana,93,302,1,7.1
Haiti,1,326,1,5.9
Honduras,69,98,2,3.0
Magyarország,234,215,185,11.3
Izland,233,61,78,6.6
India,9,114,0,2.2
Indonézia,5,1,0,0.1
Irán,0,0,0,0.0
Irak,9,3,0,0.2
Írország,313,118,165,11.4
Izrael,63,69,9,2.5
Olaszország,85,42,237,6.5
Jamaica,82,97,9,3.4
Japán,77,202,16,7.0
Jordánia,6,21,1,0.5
Kazahsztán,124,246,12,6.8
Kenya,58,22,2,1.8
Kiribati,21,34,1,1.0
Kuvait,0,0,0,0.0
Kirgizisztán,31,97,6,2.4
Laosz,62,0,123,6.2
Lettország,281,216,62,10.5
Libanon,20,55,31,1.9
Lesotho,82,29,0,2.8
Libéria,19,152,2,3.1
Líbia,0,0,0,0.0
Litvánia,343,244,56,12.9
Luxemburg,236,133,271,11.4
Madagaszkár,26,15,4,0.8
Malawi,8,11,1,1.5
