Név|Konzol|Műfaj|Kiadó|Fejlesztő|Kritikusi pontszám|Összes eladás|Kiadás éve
Grand Theft Auto V|PS3|Akció|Rockstar Games|Rockstar North|9.4|20.32|2013
Grand Theft Auto V|PS4|Akció|Rockstar Games|Rockstar North|9.7|19.39|2014
Grand Theft Auto: Vice City|PS2|Akció|Rockstar Games|Rockstar North|9.6|16.15|2002
Grand Theft Auto V|X360|Akció|Rockstar Games|Rockstar North|7.3|15.86|2013
Call of Duty: Black Ops 3|PS4|Lövöldözős|Activision|Treyarch|8.1|15.09|2015
Call of Duty: Modern Warfare 3|X360|Lövöldözős|Activision|Infinity Ward|8.7|14.82|2011
Call of Duty: Black Ops|X360|Lövöldözős|Activision|Treyarch|8.8|14.74|2010
Red Dead Redemption 2|PS4|Akció-kaland|Rockstar Games|Rockstar Games|9.8|13.94|2018
Call of Duty: Black Ops II|X360|Lövöldözős|Activision|Treyarch|8.4|13.86|2012
Call of Duty: Black Ops II|PS3|Lövöldözős|Activision|Treyarch|8.0|13.8|2012
Call of Duty: Modern Warfare 2|X360|Lövöldözős|Activision|Infinity Ward|9.5|13.53|2009
Call of Duty: WWII|PS4|Lövöldözős|Activision|Sledgehammer Games|8.1|13.4|2017
Call of Duty: Modern Warfare 3|PS3|Lövöldözős|Activision|Infinity Ward|8.8|13.35|2011
Grand Theft Auto III|PS2|Akció|Rockstar Games|DMA Design|9.5|13.1|2001
Call of Duty: Black Ops|PS3|Lövöldözős|Activision|Treyarch|8.7|12.67|2010
FIFA 18|PS4|Sport|EA Sports|EA Vancouver|8.3|11.8|2017
Grand Theft Auto IV|X360|Akció|Rockstar Games|Rockstar North|10.0|11.09|2008
FIFA 17|PS4|Sport|Electronic Arts|EA Canada|8.9|10.94|2016
Call of Duty: Modern Warfare 2|PS3|Lövöldözős|Activision|Infinity Ward|9.5|10.61|2009
Grand Theft Auto IV|PS3|Akció|Rockstar Games|Rockstar North|10.0|10.57|2008
Call of Duty: Ghosts|X360|Lövöldözős|Activision|Infinity Ward|6.9|10.41|2013
Call of Duty: Ghosts|PS3|Lövöldözős|Activision|Infinity Ward|7.5|10.13|2013
Halo: Reach|X360|Lövöldözős|Microsoft Game Studios|Bungie|9.3|9.97|2010
Halo 4|X360|Lövöldözős|Microsoft Studios|343 Industries|7.3|9.96|2012
Call of Duty 4: Modern Warfare|X360|Lövöldözős|Activision|Infinity Ward|9.6|9.41|2007
Call of Duty: Black Ops IIII|PS4|Lövöldözős|Activision|Treyarch|7.3|9.32|2018
FIFA 19|PS4|Sport|Electronic Arts|EA Sports|7.3|9.15|2018
The Elder Scrolls V: Skyrim|X360|Szerepjáték|Bethesda Softworks|Bethesda Game Studios|9.3|8.88|2011
Grand Theft Auto V|XOne|Akció|Rockstar Games|Rockstar North|9.0|8.72|2014
Call of Duty: Infinite Warfare|PS4|Lövöldözős|Activision|Infinity Ward|7.9|8.48|2016
Fallout 4|PS4|Szerepjáték|Bethesda Softworks|Bethesda Game Studios|8.6|8.48|2015
FIFA 16|PS4|Sport|EA Sports|EA Canada|8.5|8.22|2015
Star Wars Battlefront (2015)|PS4|Lövöldözős|Electronic Arts|EA DICE|7.1|8.03|2015
FIFA 13|PS3|Sport|EA Sports|EA Canada|7.3|8.01|2012
The Sims 3|PC|Szimuláció|Electronic Arts|EA Redwood Shores|8.5|7.96|2009
Grand Theft Auto: Liberty City Stories|PSP|Akció|Rockstar Games|Rockstar Leeds|8.8|7.72|2005
Call of Duty: Advanced Warfare|PS4|Lövöldözős|Activision|Sledgehammer Games|8.5|7.53|2014
Call of Duty: World at War|X360|Lövöldözős|Activision|Treyarch|8.5|7.5|2008
Call of Duty: Black Ops 3|XOne|Lövöldözős|Activision|Treyarch|7.3|7.37|2015
Battlefield 3|X360|Lövöldözős|Electronic Arts|Dice|8.5|7.35|2011
Battlefield 1|PS4|Lövöldözős|Electronic Arts|EA DICE|9.1|7.26|2016
Battlefield 3|PS3|Lövöldözős|Electronic Arts|Dice|8.5|7.21|2011
Need for Speed Underground|PS2|Versenyzős|Electronic Arts|EA Black Box|8.6|7.2|2003
Need for Speed Underground 2|PS2|Versenyzős|Electronic Arts|EA Black Box|8.3|6.9|2004
Just Dance 4|Wii|Zene|Ubisoft|Ubisoft|7.3|6.89|2012
Medal of Honor: Frontline|PS2|Lövöldözős|Electronic Arts|EA Los Angeles|9.0|6.83|2002
Uncharted 2: Among Thieves|PS3|Akció|Sony Computer Entertainment|Naughty Dog|9.5|6.74|2009
Call of Duty 4: Modern Warfare|PS3|Lövöldözős|Activision|Infinity Ward|9.5|6.72|2007
FIFA Soccer 12|PS3|Sport|EA Sports|EA Canada|9.2|6.65|2011
FIFA 14|PS3|Sport|EA Sports|EA Canada|7.3|6.61|2013
Red Dead Redemption|PS3|Akció|Rockstar Games|Rockstar San Diego|9.5|6.57|2011
Red Dead Redemption|X360|Akció|Rockstar Games|Rockstar San Diego|9.5|6.5|2010
Assassin's Creed III|PS3|Akció-kaland|Ubisoft|Ubisoft Montreal|8.8|6.5|2012
The Elder Scrolls V: Skyrim|PS3|Szerepjáték|Bethesda Softworks|Bethesda Game Studios|9.0|6.49|2011
Minecraft|PS4|Egyéb|Sony Computer Entertainment|Mojang|9.4|6.33|2014
FIFA 15|PS4|Sport|EA Sports|EA Canada|8.1|6.32|2014
Driver|PS|Akció|GT Interactive|Reflections Interactive|8.5|6.27|1999
Call of Duty: WWII|XOne|Lövöldözős|Activision|Sledgehammer Games|7.3|6.23|2017
Minecraft|PS3|Egyéb|Sony Computer Entertainment America|Mojang|7.3|6.05|2014
Red Dead Redemption 2|XOne|Akció-kaland|Rockstar Games|Rockstar Games|7.3|5.77|2018
Destiny|PS4|Lövöldözős|Activision|Bungie|7.3|5.76|2014
Tekken 2|PS|Harcolós|Namco|Namco|9.1|5.74|1996
LEGO Star Wars: The Complete Saga|Wii|Akció|LucasArts|Traveller's Tales|8.0|5.66|2007
Cooking Mama|DS|Szimuláció|Majesco|Office Create|6.6|5.66|2006
Assassin's Creed II|PS3|Akció|Ubisoft|Ubisoft Montreal|9.0|5.57|2009
Assassin's Creed|X360|Akció|Ubisoft|Ubisoft Montreal|8.2|5.55|2007
Batman: Arkham City|PS3|Akció|Warner Bros. Interactive|Rocksteady Studios|9.6|5.54|2011
Forza Motorsport 3|X360|Versenyzős|Microsoft Game Studios|Turn 10 Studios|9.2|5.5|2009
Call of Duty: World at War|PS3|Lövöldözős|Activision|Treyarch|8.4|5.43|2008
Minecraft|XOne|Egyéb|Microsoft Studios|Mojang|7.3|5.43|2014
Crash Bandicoot: The Wrath of Cortex|PS2|Platformer|Universal Interactive|Traveller's Tales|6.9|5.42|2001
Final Fantasy XIII|PS3|Szerepjáték|Square Enix|Square Enix|8.0|5.35|2010
Assassin's Creed III|X360|Akció-kaland|Ubisoft|Ubisoft Montreal|7.3|5.31|2012
Assassin's Creed II|X360|Akció|Ubisoft|Ubisoft Montreal|9.1|5.3|2009
Tomb Raider II|PS|Kaland|Eidos Interactive|Core Design Ltd.|7.6|5.24|1997
Madden NFL 2004|PS2|Sport|EA Sports|EA Tiburon|9.5|5.23|2003
Call of Duty: Advanced Warfare|XOne|Lövöldözős|Activision|Sledgehammer Games|8.3|5.22|2014
Medal of Honor: Rising Sun|PS2|Lövöldözős|Electronic Arts|EA Los Angeles|5.9|5.13|2003
Battlefield 1|XOne|Lövöldözős|Electronic Arts|EA DICE|9.3|5.13|2016
Microsoft Flight Simulator|PC|Szimuláció|Microsoft|Microsoft|7.0|5.12|1996
Guitar Hero II|PS2|Egyéb|RedOctane|Harmonix Music Systems|9.2|5.12|2006
FIFA 13|X360|Sport|EA Sports|EA Canada|7.3|5.11|2012
Mario & Sonic at the Olympic Games|DS|Sport|Sega|Sega|7.0|5.1|2008
Fable III|X360|Szerepjáték|Microsoft Game Studios|Lionhead Studios|7.8|5.1|2010
Resident Evil 5|PS3|Akció|Capcom|Capcom|8.6|5.1|2009
FIFA Soccer 11|PS3|Sport|EA Sports|EA Canada|8.7|5.08|2010
Grand Theft Auto: Vice City Stories|PSP|Akció|Rockstar Games|Rockstar Leeds|8.4|5.08|2006
Final Fantasy XV|PS4|Szerepjáték|Square Enix|Square Enix|8.1|5.07|2016
Fallout 4|XOne|Szerepjáték|Bethesda Softworks|Bethesda Game Studios|8.4|5.03|2015
Tony Hawk's Pro Skater|PS|Sport|Activision|Neversoft Entertainment|9.6|5.02|1999
Warzone 2100|PS|Stratégia|Eidos Interactive|Pumpkin Studios|7.3|5.01|1999
Guitar Hero III: Legends of Rock|PS2|Egyéb|RedOctane|BudCat Creations|8.2|4.98|2007
Uncharted: Drake's Fortune|PS3|Akció|Sony Computer Entertainment|Naughty Dog|8.7|4.97|2007
Fallout 3|X360|Szerepjáték|Bethesda Softworks|Bethesda Game Studios|9.0|4.96|2008
Madden NFL 06|PS2|Sport|EA Sports|EA Tiburon|9.1|4.91|2005
Call of Duty: Black Ops IIII|XOne|Lövöldözős|Activision|Treyarch|7.3|4.85|2018
Assassin's Creed|PS3|Akció|Ubisoft|Ubisoft Montreal|8.2|4.83|2007
Crash Bandicoot N. Sane Trilogy|PS4|Platformer|Activision|Vicarious Visions|7.3|4.83|2017
Call of Duty: Infinite Warfare|XOne|Lövöldözős|Activision|Infinity Ward|7.3|4.79|2016
Crash Team Racing|PS|Versenyzős|Sony Computer Entertainment|Naughty Dog|9.2|4.79|1999
LEGO Star Wars: The Complete Saga|DS|Akció|LucasArts|Traveller's Tales|7.8|4.77|2007
Batman: Arkham City|X360|Akció|Warner Bros. Interactive|Rocksteady Studios|9.5|4.75|2011
Driver 2|PS|Akció|Atari|Reflections Interactive|7.0|4.73|2000
The Simpsons: Hit & Run|PS2|Versenyzős|VU Games|Radical Entertainment|7.7|4.7|2003
Tony Hawk's Pro Skater 2|PS|Sport|Activision|Neversoft Entertainment|9.3|4.68|2000
The Lord of the Rings: The Two Towers|PS2|Akció|Electronic Arts|Stormfront Studios|8.3|4.67|2002
Tomb Raider|PS|Akció|Eidos Interactive|Core Design Ltd.|8.9|4.63|1996
Forza Motorsport 4|X360|Versenyzős|Microsoft Studios|Turn 10 Studio|9.1|4.6|2011
Guitar Hero III: Legends of Rock|Wii|Egyéb|RedOctane|Vicarious Visions|8.6|4.6|2007
FIFA 15|PS3|Sport|EA Sports|EA Canada|6.9|4.56|2014
Mario & Sonic at the Olympic Winter Games|Wii|Sport|Sega|Sega|6.8|4.54|2009
Overwatch|PS4|Lövöldözős|Blizzard Entertainment|Blizzard Entertainment|8.8|4.54|2016
Guitar Hero III: Legends of Rock|X360|Egyéb|RedOctane|Neversoft|8.7|4.53|2007
Star Wars Battlefront II (2017)|PS4|Lövöldözős|Electronic Arts|EA DICE|7.3|4.53|2017
Madden NFL 2005|PS2|Sport|EA Sports|EA Tiburon|9.5|4.53|2004
Spider-Man: The Movie|PS2|Akció|Activision|Treyarch|8.2|4.48|2002
The Elder Scrolls IV: Oblivion|X360|Szerepjáték|Take-Two Interactive|Bethesda Softworks|9.2|4.47|2009
Tony Hawk's Pro Skater 3|PS2|Sport|Activision|Neversoft Entertainment|9.1|4.41|2001
Winning Eleven: Pro Evolution Soccer 2007|PS2|Sport|Konami|Konami Computer Entertainment Tokyo|8.8|4.39|2007
Tom Clancy's The Division|PS4|Lövöldözős|Ubisoft|Massive Entertainment|7.3|4.37|2016
