Waterloo-i csata;1816:Montgomery,Roosevelt,Tito
Borogyinói csata;1611:Bem József,Hunyadi János
Austerlitzi csata;1596:De Gaulle,Churchill,Kutuzov,Metternich
Lipcsei csata;1674:Nelson,Hunyadi János,Molotov,Foch
Mohácsi csata;1792:Ludendorff,Rommel,Kossuth Lajos
Bécs ostroma;1648:Görgey Artúr,Rommel
Szent Gotthárdi csata;1668:Bem József,Kutuzov,Petőfi Sándor
Világosi fegyverletétel;1789:Sztálin,Görgey Artúr
Isonzói csata;1826:Wellington,Talleyrand,Sztálin,Görgey Artúr
Normandiai partraszállás;1752:Molotov,Kossuth Lajos
Sztálingrádi csata;1684:Bem József,II. Lajos
Kurszki csata;1850:Wellington,Rommel,Hunyadi János
Verduni csata;1642:Görgey Artúr,Metternich,Montgomery,Bem József
Somme-i csata;1879:Molotov,Kutuzov
Marne-i csata;1896:Rommel,Napóleon,Kossuth Lajos
Trafalgari csata;1538:Foch,Hunyadi János
Jütlandi csata;1907:Wellington,Petőfi Sándor
Midwayi csata;1824:Nelson,Montgomery,Wellington,Talleyrand
Pearl Harbor;1774:Sztálin,Roosevelt
El-Alamein-i csata;1822:Rommel,Churchill,Görgey Artúr,Petőfi Sándor
Prágai felkelés;1646:Bem József,Hitler,Ludendorff,Blücher
Varsói felkelés;1608:Roosevelt,Petőfi Sándor
Bécsi kongresszus;1823:Petőfi Sándor,Görgey Artúr,Nelson
Párizsi béke;1600:Rommel,II. Lajos
Trianoni békeszerződés;1733:Ludendorff,Wellington
Krími háború;1569:Metternich,Bem József
Spanyol örökösödési háború;1879:Talleyrand,Napóleon,Nelson,Görgey Artúr
Harmincéves háború;1569:Molotov,Petőfi Sándor,Hunyadi János
Amerikai függetlenségi háború;1504:Kossuth Lajos,Nelson,Bem József,Montgomery
Poltavai csata;1717:De Gaulle,Talleyrand,Hunyadi János
