51
Avengers;Akció;12;780
Frozen;Animáció;6;780
Joker;Thriller;16;840
Dune;Sci-fi;12;900
Moana;Animáció;6;720
Titanic;Dráma;12;1010
Inception;Thriller;16;1150
Interstellar;Sci-fi;12;890
Shrek;Animáció;6;640
Gladiator;Akció;16;1230
Matrix;Sci-fi;16;700
Avatar;Fantasy;12;950
Up;Animáció;6;620
Soul;Animáció;6;800
Coco;Animáció;6;770
Cars;Animáció;6;810
Toy Story;Animáció;6;730
Finding Nemo;Animáció;6;750
Brave;Animáció;6;880
Inside Out;Animáció;6;660
Black Panther;Akció;12;1020
Doctor Strange;Fantasy;12;1080
Iron Man;Akció;12;720
Thor;Fantasy;12;940
Captain Marvel;Akció;12;860
Spider-Man;Akció;12;930
Guardians;Sci-fi;12;970
Ant-Man;Akció;12;910
Eternals;Fantasy;12;1000
Shang-Chi;Akció;12;1030
Hulk;Akció;12;820
Deadpool;Akció;18;1120
Logan;Akció;18;1140
X-Men;Akció;12;1060
Fantastic Four;Sci-fi;12;980
Venom;Thriller;16;1160
Morbius;Thriller;16;1180
Batman;Thriller;16;1200
Superman;Akció;12;1040
Wonder Woman;Akció;12;1070
Aquaman;Fantasy;12;1090
Flash;Akció;12;1110
Green Lantern;Fantasy;12;1130
Justice League;Akció;12;1190
Suicide Squad;Akció;18;1210
Birds of Prey;Akció;18;1220
The Dark Knight;Thriller;16;1240
Man of Steel;Akció;12;1250
Watchmen;Thriller;18;1260
V for Vendetta;Thriller;18;1270
Constantine;Thriller;18;1280
