Ország,Arany,Ezüst,Bronz,Összesen
Egyesült Államok,39,41,33,113
Kína,38,32,19,89
Japán,27,14,17,58
Nagy-Britannia,22,20,22,64
Az Orosz Olimpiai Bizottság versenyzői,20,28,23,71
Ausztrália,17,7,22,46
Hollandia,10,12,14,36
Franciaország,10,12,11,33
Németország,10,11,16,37
Olaszország,10,10,20,40
Kanada,7,7,10,24
Brazília,7,6,8,21
Új-Zéland,7,6,7,20
Kuba,7,3,5,15
Magyarország,6,7,7,20
Dél-Korea,6,4,10,20
Lengyelország,4,5,5,14
Csehország,4,4,3,11
Kenya,4,4,2,10
Norvégia,4,2,2,8
Jamaica,4,1,4,9
Spanyolország,3,8,6,17
Svédország,3,6,0,9
Svájc,3,4,6,13
Dánia,3,4,4,11
Horvátország,3,3,2,8
Irán,3,2,2,7
Szerbia,3,1,5,9
Belgium,3,1,3,7
Bulgária,3,1,2,6
Szlovénia,3,1,1,5
Üzbegisztán,3,0,2,5
Grúzia,2,5,1,8
Tajvan,2,4,6,12
Törökország,2,2,9,13
Görögország,2,1,1,4
Uganda,2,1,1,4
Ecuador,2,1,0,3
Írország,2,0,2,4
Izrael,2,0,2,4
Katar,2,0,1,3
A Bahama-szigetek,2,0,0,2
Koszovó,2,0,0,2
Ukrajna,1,6,12,19
Fehéroroszország,1,3,3,7
Románia,1,3,0,4
Venezuela,1,3,0,4
India,1,2,4,7
Hongkong,1,2,3,6
A Fülöp-szigetek,1,2,1,4
Szlovákia,1,2,1,4
A Dél-afrikai Köztársaság,1,2,0,3
Ausztria,1,1,5,7
Egyiptom,1,1,4,6
Indonézia,1,1,3,5
Etiópia,1,1,2,4
Portugália,1,1,2,4
Tunézia,1,1,0,2
Észtország,1,0,1,2
A Fidzsi-szigetek,1,0,1,2
Lettország,1,0,1,2
Thaiföld,1,0,1,2
Bermuda,1,0,0,1
Marokkó,1,0,0,1
Puerto Rico,1,0,0,1
Kolumbia,0,4,1,5
Azerbajdzsán,0,3,4,7
A Dominikai Köztársaság,0,3,2,5
Örményország,0,2,2,4
Kirgizisztán,0,2,1,3
Mongólia,0,1,3,4
Argentína,0,1,2,3
San Marino,0,1,2,3
Jordánia,0,1,1,2
Malajzia,0,1,1,2
Nigéria,0,1,1,2
Bahrein,0,1,0,1
Litvánia,0,1,0,1
Észak-Macedónia,0,1,0,1
Namíbia,0,1,0,1
Türkmenisztán,0,1,0,1
Szaúd-Arábia,0,1,0,1
Kazahsztán,0,0,8,8
Mexikó,0,0,4,4
Finnország,0,0,2,2
Botswana,0,0,1,1
Burkina Faso,0,0,1,1
Elefántcsontpart,0,0,1,1
Ghána,0,0,1,1
Grenada,0,0,1,1
Kuvait,0,0,1,1
Moldova,0,0,1,1
Szíria,0,0,1,1
